TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,Get sunglasses @Home,4,2,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Suit,4,2,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Tie,4,3,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Suit,4,3,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Blue Shirt,4,3,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Shoes,4,3,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Socks,4,3,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Shoe kit,4,2,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Steam thing,4,2,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Normal Clothes,4,2,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Swimming Shiz maybe,4,2,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Surface and charging shiz,4,2,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Meds,4,2,accrist (956658),,,en,America/Denver
,,,,,,,,
task,maybe macOS anyway,4,2,accrist (956658),,,en,America/Denver
,,,,,,,,
