TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,Tithing @Home @Need_Own_Computer,2,1,accrist (956658),,tomorrow,en,America/Denver
,,,,,,,,
task,Look for mission reunion @Anywhere,3,1,accrist (956658),,tomorrow,en,America/Denver
,,,,,,,,
task,What antinephilehites don't have to fight,4,1,accrist (956658),,tomorrow,en,America/Denver
,,,,,,,,
task,D.C. 89 comma,4,1,accrist (956658),,tomorrow,en,America/Denver
,,,,,,,,
task,Theology research @Anywhere,2,1,accrist (956658),,daily,en,America/Denver
,,,,,,,,
task,put reminder for mission reunion,2,1,accrist (956658),,tomorrow,en,America/Denver
,,,,,,,,
task,Figure out temple amount @Home,1,1,accrist (956658),,tomorrow,en,America/Denver
,,,,,,,,
