TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,Adaptation movie,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Put mere Christianity on google play books,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Figure out nspire,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Amazon return and fugoo,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Make fun fries with accouterments,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Dinner next few weeks Kelsey family,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Measure cheesy,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Measure chest,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Hashtagged picture save techniques,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Dinner with K parents and none around Christmas,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Insurance card from car take to Kansas city,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Gundam and other cartoon scout battle robots,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,send alexa the making of tape,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Deposit for midwestern is j20,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,benedict cumberbatch: madlib theater,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Make sure they didn't double up Econolodge,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Next old man's war?,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Nvidia shield tsvlet,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,New go pro 5,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Pretty print groupby,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Performance hd5 vs csv,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Clean stupid room,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,GTD review and assess system,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Get byobu,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,decide between roboforms and lastpass,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Party rock anthem,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,look at nltk,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Acdc,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Check Frontier refund,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Should I do FAFSA after married?,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,gallipoli documentary,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Untold American history,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Need to write out problems for solutions,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Cholula chipotle,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
