TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,Think about PT for shoulder problem @Anywhere,2,1,accrist (956658),,tomorrow,en,America/Denver
,,,,,,,,
task,Put coolant in the car @Home,3,1,accrist (956658),,tomorrow,en,America/Denver
,,,,,,,,
task,Laundry @Home,3,1,accrist (956658),,every! 9 days,en,America/Denver
,,,,,,,,
task,Blow out air filter @Home,3,1,accrist (956658),,tomorrow,en,America/Denver
,,,,,,,,
task,Pick BYU concerts @Anywhere,3,1,accrist (956658),,tomorrow,en,America/Denver
,,,,,,,,
task,Get tire stem caps @Home,3,1,accrist (956658),,tomorrow,en,America/Denver
,,,,,,,,
task,Find lighter and check @Home,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Sharpen knife for fun @Home,4,1,accrist (956658),,tomorrow,en,America/Denver
,,,,,,,,
task,Get medical records,4,1,accrist (956658),,tomorrow,en,America/Denver
,,,,,,,,
task,Eggnog things,4,1,accrist (956658),,tomorrow,en,America/Denver
,,,,,,,,
task,Normalize Room,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Eliminate Floor-touching dross @Home,2,2,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Sort clothes aggressively @Home,2,3,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Put up clothes hanging bar @Home,3,2,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Get hanging clothes bar @Home,3,3,accrist (956658),,,en,America/Denver
,,,,,,,,
task,random flowers?,4,1,accrist (956658),,tomorrow,en,America/Denver
,,,,,,,,
task,Coke zero in glass @Anywhere,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Do audio journal or maybe video,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,get another charging setup for work,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Foldscope. Microscope,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Westworld,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
