TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,the last lecture,2,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,NP complete,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,lmt launcher,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,amazon underground,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Why kids like Pokémon,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Dedupe python library,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
task,Figure out firebird,4,1,accrist (956658),,,en,America/Denver
,,,,,,,,
